payment_id,user_id,payment_time,payment_date,amount,currency,product_type,channel,country
P00000035,U018289,2026-05-01 14:37:52,2026-05-01,5.32,USD,premium_feature,app_store,JP
P00000036,U016522,2026-05-01 14:47:22,2026-05-01,1.15,USD,starter_pack,app_store,US
P00000037,U000062,2026-05-01 15:00:52,2026-05-01,1.87,USD,starter_pack,tiktok_ads,ID
P00000038,U001524,2026-05-01 15:01:27,2026-05-01,12.03,USD,monthly_subscription,organic,CN
P00000039,U003549,2026-05-01 15:28:34,2026-05-01,3.55,USD,coins_pack,tiktok_ads,BR
P00000040,U002061,2026-05-01 15:54:14,2026-05-01,0.61,USD,starter_pack,app_store,ID
P00000041,U002607,2026-05-01 16:02:27,2026-05-01,1.82,USD,starter_pack,google_ads,CN
P00000042,U001027,2026-05-01 16:07:02,2026-05-01,7.21,USD,premium_feature,organic,CN
P00000043,U008987,2026-05-01 16:19:33,2026-05-01,10.68,USD,monthly_subscription,google_ads,US
P00000044,U020807,2026-05-01 16:33:17,2026-05-01,7.24,USD,premium_feature,google_ads,BR
P00000045,U008858,2026-05-01 16:33:32,2026-05-01,15.64,USD,monthly_subscription,app_store,US
P00000046,U019497,2026-05-01 16:46:57,2026-05-01,18.35,USD,premium_feature,google_ads,US
P00000047,U022019,2026-05-01 16:47:09,2026-05-01,5.76,USD,premium_feature,tiktok_ads,BR
P00000048,U023433,2026-05-01 16:58:39,2026-05-01,0.90,USD,starter_pack,organic,CN
P00000049,U020721,2026-05-01 17:07:57,2026-05-01,11.71,USD,premium_feature,google_ads,US
P00000050,U022260,2026-05-01 17:28:02,2026-05-01,2.82,USD,starter_pack,facebook_ads,CN
P00000051,U022450,2026-05-01 17:28:44,2026-05-01,5.59,USD,premium_feature,google_ads,JP
P00000052,U006778,2026-05-01 17:36:13,2026-05-01,1.84,USD,starter_pack,google_ads,CN
P00000053,U005837,2026-05-01 17:45:06,2026-05-01,7.39,USD,premium_feature,organic,CN
P00000054,U017534,2026-05-01 17:52:24,2026-05-01,8.54,USD,monthly_subscription,app_store,CN
P00000055,U017667,2026-05-01 18:07:12,2026-05-01,13.53,USD,monthly_subscription,tiktok_ads,CN
P00000056,U021718,2026-05-01 18:07:54,2026-05-01,9.18,USD,premium_feature,google_ads,US
P00000057,U018502,2026-05-01 18:13:36,2026-05-01,1.38,USD,starter_pack,tiktok_ads,BR
P00000058,U018954,2026-05-01 18:15:32,2026-05-01,10.62,USD,premium_feature,tiktok_ads,BR
P00000059,U022832,2026-05-01 18:31:19,2026-05-01,7.25,USD,premium_feature,organic,BR
P00000060,U018221,2026-05-01 18:52:04,2026-05-01,7.00,USD,premium_feature,tiktok_ads,BR
P00000061,U007633,2026-05-01 19:02:46,2026-05-01,2.98,USD,starter_pack,tiktok_ads,ID
P00000062,U022381,2026-05-01 19:04:31,2026-05-01,3.41,USD,starter_pack,app_store,US
P00000063,U000967,2026-05-01 19:43:45,2026-05-01,24.48,USD,monthly_subscription,tiktok_ads,US
P00000064,U022601,2026-05-01 19:52:26,2026-05-01,5.40,USD,premium_feature,organic,JP
P00000065,U000376,2026-05-01 20:11:36,2026-05-01,3.28,USD,starter_pack,organic,JP
P00000066,U007623,2026-05-01 20:53:01,2026-05-01,7.01,USD,premium_feature,organic,BR
P00000067,U017493,2026-05-01 20:53:48,2026-05-01,1.40,USD,starter_pack,google_ads,BR
P00000068,U014249,2026-05-01 20:54:14,2026-05-01,2.44,USD,starter_pack,organic,US
P00000069,U000005,2026-05-01 20:55:19,2026-05-01,5.87,USD,premium_feature,tiktok_ads,BR
P00000070,U018462,2026-05-01 21:03:56,2026-05-01,3.66,USD,starter_pack,tiktok_ads,US
P00000071,U021287,2026-05-01 21:18:48,2026-05-01,1.86,USD,starter_pack,app_store,ID
P00000072,U017994,2026-05-01 21:19:31,2026-05-01,7.18,USD,premium_feature,organic,CN
P00000073,U002727,2026-05-01 21:31:11,2026-05-01,2.44,USD,starter_pack,organic,US
P00000074,U017656,2026-05-01 21:50:54,2026-05-01,6.34,USD,premium_feature,tiktok_ads,ID
P00000075,U007797,2026-05-01 21:51:23,2026-05-01,15.89,USD,monthly_subscription,app_store,US
P00000076,U004871,2026-05-01 22:06:00,2026-05-01,1.20,USD,starter_pack,organic,US
P00000077,U014082,2026-05-01 22:10:54,2026-05-01,2.83,USD,starter_pack,google_ads,CN
P00000078,U008627,2026-05-01 22:14:48,2026-05-01,11.88,USD,premium_feature,tiktok_ads,US
P00000079,U020105,2026-05-01 22:40:38,2026-05-01,9.22,USD,coins_pack,organic,CN
P00000080,U019030,2026-05-01 22:57:47,2026-05-01,10.71,USD,monthly_subscription,organic,US
P00000081,U001635,2026-05-01 23:14:25,2026-05-01,1.38,USD,coins_pack,google_ads,BR
P00000082,U007295,2026-05-01 23:15:24,2026-05-01,9.10,USD,premium_feature,organic,JP
P00000083,U022107,2026-05-01 23:19:23,2026-05-01,5.96,USD,premium_feature,organic,US
P00000084,U001421,2026-05-01 23:19:51,2026-05-01,10.62,USD,coins_pack,organic,JP
P00000085,U019569,2026-05-01 23:30:11,2026-05-01,12.22,USD,monthly_subscription,referral,CN
P00000086,U021512,2026-05-01 23:35:53,2026-05-01,0.89,USD,starter_pack,organic,CN
P00000087,U018252,2026-05-01 23:38:10,2026-05-01,8.04,USD,monthly_subscription,organic,ID
P00000088,U013322,2026-05-01 23:46:52,2026-05-01,15.66,USD,monthly_subscription,facebook_ads,US
P00000089,U020257,2026-05-01 23:49:16,2026-05-01,4.47,USD,premium_feature,organic,CN
P00000090,U020193,2026-05-01 23:56:59,2026-05-01,11.89,USD,premium_feature,organic,US
P00000091,U020191,2026-05-02 08:09:06,2026-05-02,11.33,USD,premium_feature,facebook_ads,JP
P00000092,U019904,2026-05-02 08:48:25,2026-05-02,9.12,USD,premium_feature,facebook_ads,US
P00000093,U001891,2026-05-02 09:10:15,2026-05-02,11.88,USD,premium_feature,referral,US
P00000094,U018349,2026-05-02 09:23:22,2026-05-02,18.16,USD,monthly_subscription,organic,US
P00000095,U023892,2026-05-02 09:38:15,2026-05-02,2.20,USD,starter_pack,google_ads,BR
P00000096,U000408,2026-05-02 09:44:32,2026-05-02,10.65,USD,monthly_subscription,organic,US
P00000097,U009569,2026-05-02 09:51:56,2026-05-02,1.41,USD,starter_pack,organic,BR
P00000098,U000132,2026-05-02 09:56:58,2026-05-02,1.47,USD,coins_pack,google_ads,BR
P00000099,U009287,2026-05-02 10:07:25,2026-05-02,1.82,USD,coins_pack,app_store,CN
P00000100,U021107,2026-05-02 10:16:00,2026-05-02,4.53,USD,premium_feature,organic,CN
P00000101,U002015,2026-05-02 10:27:47,2026-05-02,6.62,USD,monthly_subscription,organic,BR
P00000102,U010291,2026-05-02 10:41:25,2026-05-02,6.37,USD,monthly_subscription,facebook_ads,BR
P00000103,U018188,2026-05-02 10:49:01,2026-05-02,5.71,USD,premium_feature,referral,US
P00000104,U022808,2026-05-02 11:04:46,2026-05-02,17.05,USD,monthly_subscription,google_ads,US
P00000105,U003704,2026-05-02 11:17:19,2026-05-02,8.28,USD,monthly_subscription,facebook_ads,CN
P00000106,U023922,2026-05-02 11:21:31,2026-05-02,8.96,USD,coins_pack,google_ads,CN
P00000107,U010875,2026-05-02 11:28:35,2026-05-02,2.27,USD,starter_pack,tiktok_ads,US
P00000108,U015771,2026-05-02 11:42:03,2026-05-02,5.57,USD,premium_feature,referral,JP
P00000109,U006490,2026-05-02 11:45:36,2026-05-02,9.20,USD,monthly_subscription,app_store,ID
P00000110,U012175,2026-05-02 11:51:39,2026-05-02,14.07,USD,premium_feature,facebook_ads,CN
P00000111,U006578,2026-05-02 12:42:57,2026-05-02,7.91,USD,monthly_subscription,google_ads,ID
P00000112,U013222,2026-05-02 12:54:14,2026-05-02,10.94,USD,premium_feature,organic,BR
P00000113,U022329,2026-05-02 13:13:18,2026-05-02,11.33,USD,premium_feature,organic,US
P00000114,U007374,2026-05-02 13:13:50,2026-05-02,11.91,USD,monthly_subscription,app_store,ID
P00000115,U004616,2026-05-02 13:22:28,2026-05-02,15.16,USD,monthly_subscription,facebook_ads,US
P00000116,U001092,2026-05-02 13:29:34,2026-05-02,1.79,USD,starter_pack,organic,CN
P00000117,U013020,2026-05-02 13:29:49,2026-05-02,6.13,USD,premium_feature,google_ads,ID
P00000118,U012775,2026-05-02 13:36:16,2026-05-02,0.90,USD,starter_pack,organic,CN
P00000119,U018959,2026-05-02 13:48:02,2026-05-02,6.15,USD,premium_feature,facebook_ads,ID
P00000120,U010528,2026-05-02 13:48:16,2026-05-02,2.16,USD,starter_pack,tiktok_ads,JP
P00000121,U017451,2026-05-02 13:58:28,2026-05-02,9.54,USD,monthly_subscription,app_store,BR
P00000122,U021108,2026-05-02 14:20:41,2026-05-02,2.37,USD,starter_pack,tiktok_ads,US
P00000123,U015040,2026-05-02 14:25:45,2026-05-02,15.31,USD,monthly_subscription,organic,US
P00000124,U013473,2026-05-02 14:29:44,2026-05-02,9.62,USD,monthly_subscription,organic,JP
P00000125,U007667,2026-05-02 14:43:21,2026-05-02,9.49,USD,monthly_subscription,app_store,JP
P00000126,U016708,2026-05-02 14:50:14,2026-05-02,4.58,USD,coins_pack,organic,CN
P00000127,U016854,2026-05-02 15:00:29,2026-05-02,1.47,USD,starter_pack,google_ads,BR
P00000128,U004370,2026-05-02 15:11:40,2026-05-02,9.05,USD,premium_feature,facebook_ads,US
P00000129,U023733,2026-05-02 15:51:39,2026-05-02,9.03,USD,premium_feature,app_store,CN
P00000130,U000384,2026-05-02 15:52:17,2026-05-02,1.80,USD,coins_pack,app_store,CN
P00000131,U014610,2026-05-02 16:00:55,2026-05-02,1.16,USD,starter_pack,tiktok_ads,US
P00000132,U022430,2026-05-02 16:06:31,2026-05-02,9.53,USD,premium_feature,facebook_ads,US
P00000133,U021857,2026-05-02 16:19:43,2026-05-02,12.24,USD,premium_feature,organic,US
P00000134,U007979,2026-05-02 16:35:28,2026-05-02,1.20,USD,starter_pack,organic,ID
P00000135,U015387,2026-05-02 17:05:11,2026-05-02,6.03,USD,premium_feature,organic,US
P00000136,U006160,2026-05-02 17:54:44,2026-05-02,2.14,USD,starter_pack,organic,JP
P00000137,U007758,2026-05-02 17:59:31,2026-05-02,2.20,USD,coins_pack,organic,JP
P00000138,U013219,2026-05-02 18:04:22,2026-05-02,8.95,USD,premium_feature,app_store,JP
P00000139,U009916,2026-05-02 18:05:39,2026-05-02,13.33,USD,monthly_subscription,organic,CN
P00000140,U020542,2026-05-02 18:13:33,2026-05-02,12.01,USD,premium_feature,tiktok_ads,US
P00000141,U017622,2026-05-02 18:14:54,2026-05-02,1.19,USD,starter_pack,organic,ID
P00000142,U018292,2026-05-02 18:18:36,2026-05-02,2.25,USD,starter_pack,organic,JP
P00000143,U019222,2026-05-02 18:18:45,2026-05-02,9.51,USD,monthly_subscription,facebook_ads,ID
P00000144,U015803,2026-05-02 18:21:31,2026-05-02,2.18,USD,coins_pack,organic,JP
P00000145,U023879,2026-05-02 18:33:09,2026-05-02,1.84,USD,starter_pack,organic,CN
P00000146,U003245,2026-05-02 18:36:38,2026-05-02,6.08,USD,coins_pack,app_store,US
P00000147,U006038,2026-05-02 18:38:07,2026-05-02,8.43,USD,monthly_subscription,referral,CN
P00000148,U015990,2026-05-02 18:54:20,2026-05-02,14.77,USD,monthly_subscription,organic,JP
P00000149,U012729,2026-05-02 19:19:56,2026-05-02,24.25,USD,monthly_subscription,tiktok_ads,US
P00000150,U022496,2026-05-02 19:32:23,2026-05-02,10.18,USD,monthly_subscription,facebook_ads,JP
P00000151,U021062,2026-05-02 19:34:08,2026-05-02,1.09,USD,starter_pack,organic,JP
P00000152,U006421,2026-05-02 19:58:08,2026-05-02,14.70,USD,monthly_subscription,tiktok_ads,BR
P00000153,U008447,2026-05-02 20:19:55,2026-05-02,3.66,USD,starter_pack,google_ads,BR
P00000154,U014186,2026-05-02 20:59:34,2026-05-02,2.66,USD,starter_pack,organic,CN
P00000155,U007156,2026-05-02 21:01:56,2026-05-02,14.27,USD,premium_feature,app_store,CN
P00000156,U009757,2026-05-02 21:02:42,2026-05-02,2.22,USD,starter_pack,google_ads,JP
P00000157,U017146,2026-05-02 21:04:28,2026-05-02,12.79,USD,monthly_subscription,organic,ID
P00000158,U018030,2026-05-02 21:11:57,2026-05-02,16.08,USD,monthly_subscription,organic,JP
P00000159,U023860,2026-05-02 21:37:07,2026-05-02,13.77,USD,monthly_subscription,organic,CN
P00000160,U022268,2026-05-02 21:42:02,2026-05-02,4.53,USD,starter_pack,organic,CN
P00000161,U004143,2026-05-02 21:42:34,2026-05-02,2.23,USD,coins_pack,google_ads,JP
P00000162,U020656,2026-05-02 22:04:34,2026-05-02,1.07,USD,starter_pack,organic,JP
P00000163,U022615,2026-05-02 22:42:56,2026-05-02,8.02,USD,monthly_subscription,tiktok_ads,ID
P00000164,U022641,2026-05-02 23:00:35,2026-05-02,12.15,USD,coins_pack,tiktok_ads,ID
P00000165,U003516,2026-05-02 23:06:21,2026-05-02,22.12,USD,coins_pack,google_ads,JP
P00000166,U008038,2026-05-02 23:11:16,2026-05-02,15.35,USD,monthly_subscription,app_store,US
P00000167,U009057,2026-05-02 23:16:33,2026-05-02,6.14,USD,coins_pack,app_store,ID
P00000168,U013499,2026-05-02 23:23:26,2026-05-02,5.99,USD,coins_pack,app_store,US
P00000169,U003167,2026-05-02 23:38:39,2026-05-02,2.31,USD,starter_pack,google_ads,US
P00000170,U010244,2026-05-02 23:44:14,2026-05-02,2.77,USD,starter_pack,app_store,CN
P00000171,U000323,2026-05-02 23:45:38,2026-05-02,2.12,USD,starter_pack,tiktok_ads,JP
P00000172,U019109,2026-05-03 08:41:29,2026-05-03,1.17,USD,starter_pack,organic,US
P00000173,U023099,2026-05-03 09:08:13,2026-05-03,10.25,USD,monthly_subscription,organic,JP
P00000174,U021647,2026-05-03 09:09:22,2026-05-03,4.56,USD,starter_pack,organic,CN
P00000175,U015845,2026-05-03 09:16:13,2026-05-03,2.17,USD,starter_pack,organic,JP
P00000176,U021819,2026-05-03 09:27:59,2026-05-03,1.16,USD,starter_pack,google_ads,US
P00000177,U019518,2026-05-03 09:33:19,2026-05-03,12.23,USD,monthly_subscription,tiktok_ads,CN
P00000178,U020263,2026-05-03 09:45:38,2026-05-03,12.06,USD,monthly_subscription,organic,CN
P00000179,U023706,2026-05-03 09:52:32,2026-05-03,5.90,USD,starter_pack,app_store,US
P00000180,U001186,2026-05-03 10:02:03,2026-05-03,6.67,USD,monthly_subscription,google_ads,BR
P00000181,U018006,2026-05-03 10:13:44,2026-05-03,1.26,USD,starter_pack,referral,ID
P00000182,U014610,2026-05-03 10:17:13,2026-05-03,9.38,USD,premium_feature,tiktok_ads,US
P00000183,U019938,2026-05-03 10:19:34,2026-05-03,3.44,USD,starter_pack,google_ads,US
P00000184,U002756,2026-05-03 10:21:13,2026-05-03,1.49,USD,coins_pack,google_ads,BR
P00000185,U017417,2026-05-03 10:22:21,2026-05-03,1.15,USD,starter_pack,tiktok_ads,US
P00000186,U016729,2026-05-03 10:49:52,2026-05-03,15.63,USD,monthly_subscription,organic,US
P00000187,U023897,2026-05-03 10:58:48,2026-05-03,5.77,USD,coins_pack,tiktok_ads,US
P00000188,U005238,2026-05-03 10:59:04,2026-05-03,5.87,USD,premium_feature,referral,US
P00000189,U017086,2026-05-03 11:09:54,2026-05-03,1.16,USD,starter_pack,tiktok_ads,US
P00000190,U023450,2026-05-03 11:25:13,2026-05-03,2.80,USD,starter_pack,organic,CN
P00000191,U000395,2026-05-03 11:28:05,2026-05-03,5.74,USD,premium_feature,google_ads,US
P00000192,U013820,2026-05-03 11:54:22,2026-05-03,5.58,USD,coins_pack,organic,JP
P00000193,U020114,2026-05-03 11:57:15,2026-05-03,9.09,USD,premium_feature,tiktok_ads,CN
P00000194,U009412,2026-05-03 12:01:30,2026-05-03,5.61,USD,premium_feature,google_ads,BR
P00000195,U014934,2026-05-03 12:07:00,2026-05-03,11.38,USD,premium_feature,organic,JP
P00000196,U008795,2026-05-03 12:07:36,2026-05-03,0.72,USD,starter_pack,tiktok_ads,BR
P00000197,U014088,2026-05-03 12:25:46,2026-05-03,9.78,USD,premium_feature,organic,US
P00000198,U008189,2026-05-03 12:29:35,2026-05-03,2.74,USD,starter_pack,organic,CN
P00000199,U024131,2026-05-03 12:34:08,2026-05-03,1.15,USD,starter_pack,app_store,US
P00000200,U002556,2026-05-03 12:51:32,2026-05-03,9.14,USD,premium_feature,organic,CN
P00000201,U021904,2026-05-03 13:12:14,2026-05-03,3.17,USD,premium_feature,organic,ID
P00000202,U006541,2026-05-03 13:34:28,2026-05-03,1.28,USD,coins_pack,app_store,ID
P00000203,U023446,2026-05-03 13:42:13,2026-05-03,17.82,USD,monthly_subscription,facebook_ads,US
P00000204,U002440,2026-05-03 13:58:15,2026-05-03,4.47,USD,premium_feature,organic,CN
P00000205,U006321,2026-05-03 14:10:35,2026-05-03,2.83,USD,starter_pack,google_ads,CN
P00000206,U000146,2026-05-03 14:13:40,2026-05-03,4.60,USD,premium_feature,app_store,CN
P00000207,U002488,2026-05-03 15:09:50,2026-05-03,2.34,USD,starter_pack,organic,US
P00000208,U023860,2026-05-03 15:21:15,2026-05-03,1.77,USD,starter_pack,organic,CN
P00000209,U016516,2026-05-03 15:25:40,2026-05-03,11.66,USD,monthly_subscription,referral,CN
P00000210,U021020,2026-05-03 15:36:49,2026-05-03,1.11,USD,starter_pack,organic,JP
P00000211,U021151,2026-05-03 16:06:06,2026-05-03,11.60,USD,premium_feature,google_ads,US
P00000212,U013562,2026-05-03 16:50:39,2026-05-03,10.44,USD,monthly_subscription,organic,BR
P00000213,U006418,2026-05-03 16:52:25,2026-05-03,1.82,USD,starter_pack,organic,CN
P00000214,U005724,2026-05-03 17:01:09,2026-05-03,9.74,USD,premium_feature,organic,US
P00000215,U019748,2026-05-03 17:03:51,2026-05-03,2.36,USD,starter_pack,app_store,US
P00000216,U006178,2026-05-03 17:07:15,2026-05-03,5.90,USD,coins_pack,google_ads,US
P00000217,U017926,2026-05-03 17:23:32,2026-05-03,7.51,USD,premium_feature,google_ads,CN
P00000218,U021477,2026-05-03 17:26:56,2026-05-03,5.53,USD,premium_feature,google_ads,BR
P00000219,U022006,2026-05-03 17:28:22,2026-05-03,1.12,USD,starter_pack,facebook_ads,US
P00000220,U022926,2026-05-03 17:31:11,2026-05-03,3.46,USD,starter_pack,google_ads,US
P00000221,U021621,2026-05-03 17:32:47,2026-05-03,9.33,USD,premium_feature,app_store,US
P00000222,U000911,2026-05-03 17:43:19,2026-05-03,5.80,USD,starter_pack,facebook_ads,US
P00000223,U013072,2026-05-03 17:44:03,2026-05-03,4.52,USD,premium_feature,app_store,CN
P00000224,U000778,2026-05-03 18:07:18,2026-05-03,3.61,USD,starter_pack,app_store,US
P00000225,U019159,2026-05-03 18:17:31,2026-05-03,4.49,USD,premium_feature,google_ads,CN
P00000226,U018622,2026-05-03 18:24:08,2026-05-03,3.60,USD,premium_feature,organic,BR
P00000227,U015332,2026-05-03 18:24:47,2026-05-03,8.71,USD,premium_feature,organic,JP
P00000228,U023725,2026-05-03 18:29:32,2026-05-03,10.76,USD,monthly_subscription,google_ads,US
P00000229,U021187,2026-05-03 18:31:42,2026-05-03,5.28,USD,premium_feature,google_ads,JP
P00000230,U000158,2026-05-03 19:01:25,2026-05-03,4.76,USD,premium_feature,organic,CN
P00000231,U023618,2026-05-03 19:13:25,2026-05-03,2.13,USD,starter_pack,tiktok_ads,JP
P00000232,U010750,2026-05-03 19:20:02,2026-05-03,11.64,USD,coins_pack,organic,US
P00000233,U009999,2026-05-03 19:22:03,2026-05-03,5.60,USD,premium_feature,app_store,BR
P00000234,U017389,2026-05-03 19:25:19,2026-05-03,6.01,USD,starter_pack,google_ads,US
P00000235,U008178,2026-05-03 19:30:11,2026-05-03,4.44,USD,premium_feature,organic,CN
P00000236,U001970,2026-05-03 19:55:30,2026-05-03,1.78,USD,coins_pack,referral,CN
P00000237,U018088,2026-05-03 19:57:54,2026-05-03,1.09,USD,starter_pack,app_store,JP
P00000238,U006354,2026-05-03 20:12:37,2026-05-03,3.62,USD,starter_pack,tiktok_ads,US
P00000239,U005603,2026-05-03 20:23:11,2026-05-03,7.99,USD,monthly_subscription,organic,CN
P00000240,U014375,2026-05-03 20:31:35,2026-05-03,1.23,USD,coins_pack,tiktok_ads,ID
P00000241,U014076,2026-05-03 21:02:00,2026-05-03,4.67,USD,starter_pack,organic,CN
P00000242,U017764,2026-05-03 21:03:00,2026-05-03,9.44,USD,premium_feature,organic,US
P00000243,U019814,2026-05-03 21:18:22,2026-05-03,5.40,USD,starter_pack,app_store,JP
P00000244,U007183,2026-05-03 21:21:28,2026-05-03,4.77,USD,coins_pack,google_ads,CN
P00000245,U004861,2026-05-03 21:34:46,2026-05-03,4.45,USD,premium_feature,organic,CN
P00000246,U018859,2026-05-03 22:01:14,2026-05-03,1.05,USD,starter_pack,organic,JP
P00000247,U007732,2026-05-03 22:07:58,2026-05-03,3.03,USD,coins_pack,google_ads,ID
P00000248,U000510,2026-05-03 22:27:34,2026-05-03,3.39,USD,starter_pack,organic,US
P00000249,U001211,2026-05-03 22:53:18,2026-05-03,9.63,USD,monthly_subscription,google_ads,BR
P00000250,U019704,2026-05-03 22:58:44,2026-05-03,2.39,USD,starter_pack,tiktok_ads,US
P00000251,U001465,2026-05-03 23:06:57,2026-05-03,18.27,USD,premium_feature,referral,US
P00000252,U017844,2026-05-03 23:10:14,2026-05-03,1.15,USD,starter_pack,app_store,US
P00000253,U012773,2026-05-03 23:20:23,2026-05-03,1.77,USD,starter_pack,facebook_ads,CN
P00000254,U016749,2026-05-03 23:22:53,2026-05-03,18.15,USD,premium_feature,app_store,US
P00000255,U003479,2026-05-03 23:58:04,2026-05-03,9.84,USD,monthly_subscription,google_ads,JP
P00000256,U016945,2026-05-04 08:27:40,2026-05-04,14.75,USD,monthly_subscription,tiktok_ads,JP
P00000257,U022123,2026-05-04 08:58:37,2026-05-04,3.01,USD,premium_feature,tiktok_ads,ID
P00000258,U024571,2026-05-04 09:10:24,2026-05-04,22.95,USD,coins_pack,referral,US
P00000259,U017777,2026-05-04 09:39:22,2026-05-04,2.68,USD,starter_pack,organic,CN
P00000260,U002571,2026-05-04 10:09:09,2026-05-04,0.88,USD,starter_pack,google_ads,CN
P00000261,U024508,2026-05-04 10:17:19,2026-05-04,17.02,USD,monthly_subscription,google_ads,JP
P00000262,U022603,2026-05-04 10:21:28,2026-05-04,13.95,USD,monthly_subscription,tiktok_ads,CN
P00000263,U020105,2026-05-04 10:26:44,2026-05-04,11.59,USD,monthly_subscription,organic,CN
P00000264,U024308,2026-05-04 11:00:58,2026-05-04,3.45,USD,starter_pack,organic,US
P00000265,U015044,2026-05-04 11:11:52,2026-05-04,23.95,USD,coins_pack,google_ads,US
P00000266,U012241,2026-05-04 11:31:55,2026-05-04,2.11,USD,starter_pack,organic,JP
P00000267,U000018,2026-05-04 11:45:37,2026-05-04,23.26,USD,monthly_subscription,organic,US
P00000268,U015657,2026-05-04 12:12:56,2026-05-04,3.72,USD,starter_pack,google_ads,BR
P00000269,U006254,2026-05-04 12:38:52,2026-05-04,1.42,USD,starter_pack,app_store,BR
P00000270,U001558,2026-05-04 12:55:56,2026-05-04,13.94,USD,premium_feature,app_store,CN
P00000271,U021392,2026-05-04 12:59:09,2026-05-04,3.39,USD,starter_pack,referral,JP
P00000272,U001581,2026-05-04 13:05:46,2026-05-04,9.11,USD,monthly_subscription,organic,BR
P00000273,U022508,2026-05-04 13:31:42,2026-05-04,9.82,USD,monthly_subscription,app_store,JP
P00000274,U006339,2026-05-04 13:39:14,2026-05-04,10.49,USD,monthly_subscription,app_store,US
P00000275,U022175,2026-05-04 13:49:01,2026-05-04,2.24,USD,starter_pack,tiktok_ads,JP
P00000276,U004191,2026-05-04 13:50:06,2026-05-04,9.36,USD,monthly_subscription,app_store,ID
P00000277,U010796,2026-05-04 14:08:34,2026-05-04,0.89,USD,starter_pack,google_ads,CN
P00000278,U024133,2026-05-04 14:27:36,2026-05-04,1.17,USD,starter_pack,facebook_ads,US
P00000279,U006718,2026-05-04 14:30:21,2026-05-04,10.31,USD,monthly_subscription,organic,US
P00000280,U002872,2026-05-04 14:36:29,2026-05-04,2.39,USD,starter_pack,organic,US
