user_id,register_time,install_date,channel,country,device_os,device_model,app_version,age_group,gender,is_new_user
U000062,2026-01-01 00:25:15,2026-01-01,tiktok_ads,ID,Android,Samsung Galaxy A54,1.1.1,25-34,F,1
U000063,,2026-01-01,app_store,US,iOS,iPhone 13,1.2.0,45-54,M,1
U000064,2026-01-01 00:50:00,2026-01-01,facebook_ads,BR,Android,Samsung Galaxy S23,1.2.0,25-34,M,1
U000065,2026-01-01 01:55:07,2026-01-01,google_ads,JP,Android,Huawei Mate 60,1.1.1,25-34,M,1
U000066,2026-01-01 02:17:18,2026-01-01,organic,JP,iOS,iPhone 12,1.1.1,25-34,F,1
U000067,2026-01-01 01:29:29,2026-01-01,tiktok_ads,BR,Android,Huawei Mate 60,1.1.0,25-34,M,1
U000068,2026-01-01 00:41:06,2026-01-01,facebook_ads,JP,iOS,iPhone 15,1.1.0,35-44,F,1
U000069,2026-01-01 02:17:37,2026-01-01,facebook_ads,US,iOS,iPhone 14,1.2.0,45-54,M,1
U000070,2026-01-01 02:35:58,2026-01-01,app_store,CN,Android,Samsung Galaxy A54,1.1.1,25-34,M,1
U000071,2026-01-01 00:27:27,2026-01-01,facebook_ads,JP,iOS,iPhone 12,1.1.0,35-44,F,1
U000072,2026-01-01 00:48:09,2026-01-01,organic,ID,iOS,iPhone 15,1.1.1,55+,F,1
U000073,2026-01-01 02:43:42,2026-01-01,google_ads,JP,iOS,iPhone 14,1.1.1,25-34,F,1
U000074,,2026-01-01,organic,CN,Android,Google Pixel 8,1.1.1,35-44,F,1
U000075,2026-01-01 06:14:15,2026-01-01,google_ads,ID,Android,Google Pixel 8,1.1.0,35-44,F,1
U000076,2026-01-01 12:17:32,2026-01-01,google_ads,CN,Android,Redmi Note 13,1.2.0,25-34,F,1
U000077,2026-01-01 06:42:34,2026-01-01,google_ads,JP,iOS,iPhone 15,1.1.1,45-54,M,1
U000078,2026-01-01 01:55:49,2026-01-01,tiktok_ads,ID,iOS,iPhone 14,1.1.1,55+,M,1
U000079,2026-01-01 00:39:25,2026-01-01,organic,JP,iOS,iPhone 15,1.2.0,35-44,F,1
U000080,2026-01-01 06:32:23,2026-01-01,organic,BR,Android,vivo X100,1.2.0,25-34,F,1
U000081,,2026-01-01,facebook_ads,ID,iOS,iPhone 14,1.1.0,18-24,F,1
U000082,2026-01-01 01:36:44,2026-01-01,google_ads,US,iOS,iPhone 11,1.1.1,18-24,F,1
U000083,2026-01-01 02:24:39,2026-01-01,google_ads,BR,Android,Samsung Galaxy A54,1.2.0,25-34,M,1
U000084,2026-01-01 02:17:04,2026-01-01,organic,BR,iOS,iPhone 12,1.1.0,18-24,F,1
U000085,,2026-01-01,app_store,US,iOS,iPhone 13,1.1.0,25-34,F,1
U000086,2026-01-01 12:34:47,2026-01-01,google_ads,US,Android,Google Pixel 8,1.1.1,25-34,M,1
U000087,2026-01-01 00:35:25,2026-01-01,facebook_ads,US,Android,Xiaomi 14,1.1.0,45-54,M,1
U000088,2026-01-02 00:10:44,2026-01-01,app_store,CN,Android,Samsung Galaxy A54,1.2.0,35-44,M,1
U000089,2026-01-01 06:20:59,2026-01-01,app_store,US,Android,Redmi Note 13,1.2.0,25-34,F,1
U000090,2026-01-01 12:16:49,2026-01-01,organic,CN,Android,vivo X100,1.1.0,25-34,M,1
U000091,,2026-01-01,tiktok_ads,ID,Android,Xiaomi 14,1.1.0,18-24,M,1
U000092,2026-01-01 01:22:00,2026-01-01,facebook_ads,ID,Android,Huawei Mate 60,1.1.0,18-24,M,1
U000093,2026-01-01 06:11:20,2026-01-01,app_store,CN,Android,Redmi Note 13,1.1.0,25-34,M,1
U000094,2026-01-01 00:30:41,2026-01-01,tiktok_ads,ID,Android,vivo X100,1.1.0,25-34,Unknown,1
U000095,2026-01-01 06:14:33,2026-01-01,app_store,ID,iOS,iPhone 14,1.1.0,18-24,Unknown,1
U000096,2026-01-01 01:12:55,2026-01-01,organic,BR,Android,Huawei Mate 60,1.2.0,18-24,M,1
U000097,2026-01-01 06:09:03,2026-01-01,google_ads,BR,Android,Samsung Galaxy A54,1.1.1,18-24,F,1
U000098,2026-01-01 06:41:59,2026-01-01,app_store,CN,iOS,iPhone 11,1.2.0,25-34,F,1
U000099,2026-01-01 02:48:31,2026-01-01,tiktok_ads,BR,Android,Xiaomi 14,1.1.1,45-54,F,1
U000100,2026-01-01 00:21:12,2026-01-01,organic,CN,iOS,iPhone 15,1.1.0,25-34,F,1
U000101,2026-01-01 00:10:55,2026-01-01,organic,JP,Android,Huawei Mate 60,1.1.1,35-44,F,1
U000102,2026-01-01 01:22:25,2026-01-01,organic,JP,iOS,iPhone 15,1.2.0,18-24,F,1
U000103,2026-01-01 01:12:01,2026-01-01,google_ads,JP,Android,Xiaomi 14,1.1.0,25-34,F,1
U000104,2026-01-02 00:17:39,2026-01-01,facebook_ads,JP,iOS,iPhone 12,1.1.0,18-24,M,1
U000105,2026-01-01 00:02:58,2026-01-01,google_ads,BR,Android,Xiaomi 14,1.1.1,25-34,F,1
U000106,2026-01-01 02:58:53,2026-01-01,app_store,US,iOS,iPhone 15,1.1.0,18-24,F,1
U000107,2026-01-01 00:42:51,2026-01-01,referral,CN,Android,Huawei Mate 60,1.1.0,18-24,F,1
U000108,2026-01-01 00:54:03,2026-01-01,organic,US,Android,Xiaomi 14,1.1.0,18-24,Unknown,1
U000109,,2026-01-01,tiktok_ads,US,Android,Samsung Galaxy S23,1.1.1,18-24,F,1
U000110,,2026-01-01,referral,CN,Android,Samsung Galaxy S23,1.2.0,35-44,F,1
U000111,2026-01-01 02:51:45,2026-01-01,referral,US,iOS,iPhone 14,1.2.0,18-24,F,1
U000112,2026-01-01 01:46:03,2026-01-01,app_store,ID,Android,Redmi Note 13,1.1.0,18-24,F,1
U000113,2026-01-01 06:00:30,2026-01-01,organic,CN,iOS,iPhone 14,1.1.0,45-54,M,1
U000114,2026-01-01 01:06:01,2026-01-01,google_ads,CN,Android,Redmi Note 13,1.1.1,25-34,F,1
U000115,2026-01-01 00:28:55,2026-01-01,tiktok_ads,US,iOS,iPhone 15,1.1.1,18-24,F,1
U000116,2026-01-01 00:54:29,2026-01-01,organic,JP,iOS,iPhone 12,1.1.0,18-24,F,1
U000117,2026-01-01 01:20:31,2026-01-01,google_ads,CN,Android,vivo X100,1.1.0,25-34,Unknown,1
U000118,,2026-01-01,tiktok_ads,JP,Android,Samsung Galaxy A54,1.1.1,25-34,F,1
U000119,,2026-01-01,facebook_ads,ID,Android,OPPO Reno11,1.1.0,18-24,Unknown,1
U000120,2026-01-01 02:19:22,2026-01-01,google_ads,JP,Android,Redmi Note 13,1.1.1,18-24,F,1
U000121,2026-01-01 00:48:19,2026-01-01,tiktok_ads,JP,Android,Samsung Galaxy S23,1.1.1,25-34,F,1
U000122,2026-01-01 00:45:07,2026-01-01,google_ads,US,iOS,iPhone 13,1.2.0,25-34,M,1
U000123,2026-01-01 02:35:01,2026-01-01,referral,JP,Android,Samsung Galaxy A54,1.1.0,25-34,M,1
U000124,2026-01-01 06:38:55,2026-01-01,tiktok_ads,ID,Android,Xiaomi 14,1.1.1,18-24,F,1
U000125,2026-01-01 00:37:43,2026-01-01,organic,CN,iOS,iPhone 15,1.1.0,18-24,F,1
U000126,2026-01-01 02:22:59,2026-01-01,organic,CN,iOS,iPhone SE,1.1.1,18-24,F,1
U000127,2026-01-01 06:44:36,2026-01-01,referral,JP,iOS,iPhone 12,1.2.0,18-24,M,1
U000128,2026-01-03 00:59:06,2026-01-01,organic,US,Android,Samsung Galaxy A54,1.1.1,18-24,M,1
U000129,2026-01-01 00:10:47,2026-01-01,tiktok_ads,ID,Android,Redmi Note 13,1.1.0,18-24,F,1
U000130,2026-01-01 06:29:09,2026-01-01,organic,JP,iOS,iPhone 12,1.2.0,25-34,M,1
U000131,,2026-01-01,app_store,ID,Android,Huawei Mate 60,1.1.0,25-34,M,1
U000132,2026-01-01 00:00:29,2026-01-01,google_ads,BR,Android,Redmi Note 13,1.2.0,18-24,M,1
U000133,,2026-01-01,facebook_ads,BR,Android,Samsung Galaxy A54,1.1.0,18-24,M,1
U000134,2026-01-03 00:24:41,2026-01-01,tiktok_ads,US,Android,Samsung Galaxy A54,1.1.0,18-24,F,1
U000135,2026-01-01 00:55:07,2026-01-01,google_ads,JP,Android,Samsung Galaxy S23,1.1.1,25-34,F,1
U000136,2026-01-01 02:26:17,2026-01-01,tiktok_ads,ID,Android,Samsung Galaxy A54,1.1.1,35-44,F,1
U000137,2026-01-01 12:10:47,2026-01-01,app_store,ID,Android,Redmi Note 13,1.1.1,18-24,M,1
U000138,,2026-01-01,app_store,US,iOS,iPhone 13,1.1.0,18-24,F,1
U000139,2026-01-01 00:19:39,2026-01-01,app_store,JP,Android,Xiaomi 14,1.1.0,25-34,M,1
U000140,2026-01-02 00:25:40,2026-01-01,tiktok_ads,JP,iOS,iPhone 15,1.1.0,18-24,M,1
U000141,2026-01-01 01:19:10,2026-01-01,organic,CN,Android,Samsung Galaxy A54,1.1.1,18-24,F,1
U000142,2026-01-01 02:46:56,2026-01-01,tiktok_ads,BR,Android,Samsung Galaxy S23,1.1.0,18-24,Unknown,1
U000143,2026-01-01 01:01:22,2026-01-01,facebook_ads,US,Android,Samsung Galaxy S23,1.1.1,18-24,M,1
U000144,2026-01-01 06:50:15,2026-01-01,tiktok_ads,JP,iOS,iPhone 15,1.1.1,25-34,F,1
U000145,2026-01-01 00:44:50,2026-01-01,organic,CN,Android,Samsung Galaxy A54,1.1.0,18-24,M,1
U000146,2026-01-01 02:03:33,2026-01-01,app_store,CN,Android,Xiaomi 14,1.1.1,18-24,M,1
U000147,2026-01-01 06:43:27,2026-01-01,organic,US,Android,Redmi Note 13,1.1.1,35-44,F,1
U000148,2026-01-01 12:00:26,2026-01-01,facebook_ads,BR,Android,Xiaomi 14,1.1.1,45-54,M,1
U000149,2026-01-01 12:12:14,2026-01-01,google_ads,US,iOS,iPhone 14,1.1.0,18-24,F,1
U000150,2026-01-01 00:50:31,2026-01-01,referral,BR,Android,OPPO Reno11,1.1.1,35-44,M,1
U000151,2026-01-01 01:20:45,2026-01-01,referral,JP,iOS,iPhone 12,1.1.0,25-34,F,1
U000152,,2026-01-01,google_ads,US,iOS,iPhone 14,1.1.0,18-24,M,1
U000153,,2026-01-01,google_ads,ID,Android,Samsung Galaxy S23,1.1.0,18-24,F,1
U000154,2026-01-01 00:50:40,2026-01-01,organic,US,Android,Samsung Galaxy S23,1.2.0,45-54,F,1
U000155,2026-01-01 00:16:45,2026-01-01,referral,JP,iOS,iPhone 15,1.2.0,25-34,F,1
U000156,2026-01-01 06:08:57,2026-01-01,google_ads,BR,Android,Redmi Note 13,1.2.0,45-54,F,1
U000157,2026-01-01 06:16:32,2026-01-01,app_store,JP,Android,OPPO Reno11,1.1.1,18-24,M,1
U000158,2026-01-01 00:11:16,2026-01-01,organic,CN,Android,OPPO Reno11,1.1.0,18-24,M,1
U000159,2026-01-01 02:22:06,2026-01-01,referral,JP,Android,Redmi Note 13,1.1.0,18-24,M,1
U000160,2026-01-02 00:40:20,2026-01-01,app_store,JP,iOS,iPhone 12,1.1.0,45-54,M,1
U000161,2026-01-01 00:24:34,2026-01-01,organic,JP,iOS,iPhone 14,1.1.1,18-24,M,1
U000162,,2026-01-01,facebook_ads,US,iOS,iPhone SE,1.1.1,45-54,F,1
U000163,,2026-01-01,organic,ID,Android,Xiaomi 14,1.1.0,45-54,M,1
U000164,2026-01-01 02:07:29,2026-01-01,organic,CN,Android,Samsung Galaxy S23,1.1.0,25-34,M,1
U000165,2026-01-01 01:59:43,2026-01-01,organic,BR,Android,Samsung Galaxy A54,1.1.1,18-24,M,1
U000166,2026-01-01 02:08:42,2026-01-01,organic,CN,Android,Xiaomi 14,1.2.0,45-54,M,1
U000167,,2026-01-01,organic,CN,Android,Samsung Galaxy A54,1.1.1,18-24,F,1
U000168,,2026-01-01,google_ads,ID,Android,Samsung Galaxy A54,1.1.0,25-34,M,1
U000169,2026-01-01 12:28:27,2026-01-01,google_ads,JP,iOS,iPhone 13,1.1.1,25-34,F,1
U000170,2026-01-01 00:45:44,2026-01-01,app_store,US,Android,OPPO Reno11,1.1.0,18-24,F,1
U000171,2026-01-01 00:21:35,2026-01-01,organic,US,Android,Samsung Galaxy A54,1.1.0,25-34,M,1
U000172,2026-01-01 01:05:30,2026-01-01,tiktok_ads,ID,Android,Huawei Mate 60,1.2.0,18-24,M,1
U000173,,2026-01-01,facebook_ads,BR,iOS,iPhone 14,1.1.0,35-44,M,1
U000174,2026-01-01 01:57:37,2026-01-01,tiktok_ads,BR,iOS,iPhone 15,1.2.0,18-24,F,1
U000175,2026-01-01 00:48:18,2026-01-01,tiktok_ads,BR,Android,OPPO Reno11,1.2.0,18-24,F,1
U000176,2026-01-01 02:33:12,2026-01-01,app_store,JP,iOS,iPhone 13,1.1.0,25-34,M,1
U000177,2026-01-01 12:54:00,2026-01-01,organic,CN,Android,Huawei Mate 60,1.1.1,18-24,M,1
U000178,2026-01-02 01:24:13,2026-01-02,tiktok_ads,JP,iOS,iPhone 14,1.1.1,25-34,M,1
U000179,2026-01-02 06:06:18,2026-01-02,tiktok_ads,ID,iOS,iPhone 12,1.1.0,35-44,F,1
U000180,2026-01-02 00:50:28,2026-01-02,facebook_ads,US,iOS,iPhone 13,1.1.0,25-34,M,1
U000181,2026-01-02 02:55:40,2026-01-02,tiktok_ads,US,iOS,iPhone 15,1.1.1,35-44,M,1
U000182,2026-01-02 02:11:11,2026-01-02,tiktok_ads,ID,iOS,iPhone 14,1.1.0,18-24,M,1
U000183,2026-01-02 02:01:03,2026-01-02,google_ads,BR,iOS,iPhone 14,1.1.0,18-24,M,1
U000184,2026-01-02 01:51:17,2026-01-02,tiktok_ads,CN,Android,Redmi Note 13,1.1.0,45-54,F,1
U000185,2026-01-02 01:19:08,2026-01-02,organic,US,iOS,iPhone 14,1.1.0,18-24,F,1
U000186,2026-01-02 00:13:58,2026-01-02,app_store,JP,iOS,iPhone 14,1.1.1,25-34,M,1
U000187,2026-01-02 00:26:19,2026-01-02,organic,CN,iOS,iPhone 13,1.2.0,18-24,M,1
U000188,2026-01-02 00:58:56,2026-01-02,app_store,BR,Android,Huawei Mate 60,1.1.0,35-44,F,1
U000189,,2026-01-02,facebook_ads,BR,Android,Samsung Galaxy S23,1.1.0,35-44,F,1
U000190,2026-01-02 00:09:00,2026-01-02,google_ads,BR,Android,Huawei Mate 60,1.1.1,35-44,F,1
U000191,2026-01-02 06:55:18,2026-01-02,facebook_ads,BR,Android,Samsung Galaxy A54,1.1.0,25-34,M,1
U000192,2026-01-02 02:48:54,2026-01-02,organic,JP,iOS,iPhone 12,1.1.0,25-34,M,1
U000193,2026-01-02 06:05:01,2026-01-02,app_store,JP,Android,vivo X100,1.1.1,45-54,M,1
U000194,2026-01-02 00:17:27,2026-01-02,referral,US,Android,OPPO Reno11,1.1.0,18-24,F,1
U000195,,2026-01-02,tiktok_ads,BR,iOS,iPhone 12,1.1.0,45-54,M,1
U000196,2026-01-02 00:35:42,2026-01-02,tiktok_ads,ID,Android,Xiaomi 14,1.1.0,18-24,M,1
U000197,2026-01-02 01:30:53,2026-01-02,organic,US,iOS,iPhone 14,1.1.0,18-24,M,1
U000198,,2026-01-02,google_ads,ID,Android,Redmi Note 13,1.1.0,25-34,F,1
U000199,2026-01-02 02:41:08,2026-01-02,tiktok_ads,CN,Android,Redmi Note 13,1.1.0,25-34,M,1
U000200,,2026-01-02,google_ads,US,Android,Samsung Galaxy S23,1.2.0,25-34,M,1
U000201,2026-01-02 01:43:09,2026-01-02,app_store,CN,Android,Samsung Galaxy A54,1.2.0,55+,M,1
U000202,,2026-01-02,app_store,US,Android,Samsung Galaxy A54,1.1.1,25-34,F,1
U000203,2026-01-02 00:42:13,2026-01-02,tiktok_ads,US,Android,Google Pixel 8,1.2.0,18-24,M,1
U000204,2026-01-02 06:24:27,2026-01-02,google_ads,US,iOS,iPhone 15,1.1.0,25-34,M,1
U000205,2026-01-02 00:38:23,2026-01-02,app_store,JP,Android,Google Pixel 8,1.1.0,18-24,M,1
U000206,2026-01-02 02:23:45,2026-01-02,referral,JP,iOS,iPhone 14,1.2.0,25-34,M,1
U000207,2026-01-02 06:32:24,2026-01-02,app_store,BR,Android,vivo X100,1.2.0,18-24,F,1
U000208,2026-01-02 00:45:32,2026-01-02,organic,BR,Android,Redmi Note 13,1.2.0,25-34,M,1
U000209,2026-01-02 06:26:05,2026-01-02,organic,JP,iOS,iPhone 14,1.1.0,18-24,M,1
U000210,2026-01-02 00:43:14,2026-01-02,tiktok_ads,US,iOS,iPhone 14,1.1.1,35-44,F,1
U000211,2026-01-02 00:07:30,2026-01-02,tiktok_ads,US,iOS,iPhone 14,1.2.0,18-24,F,1
U000212,2026-01-02 00:28:00,2026-01-02,organic,ID,Android,Samsung Galaxy S23,1.1.0,25-34,M,1
U000213,2026-01-02 06:59:49,2026-01-02,google_ads,ID,Android,Huawei Mate 60,1.1.0,18-24,M,1
U000214,2026-01-02 12:12:47,2026-01-02,organic,CN,Android,Redmi Note 13,1.2.0,18-24,M,1
U000215,2026-01-02 00:47:10,2026-01-02,tiktok_ads,ID,Android,OPPO Reno11,1.1.0,18-24,M,1
U000216,2026-01-02 00:07:06,2026-01-02,tiktok_ads,BR,iOS,iPhone 13,1.1.0,18-24,F,1
U000217,2026-01-02 01:37:29,2026-01-02,app_store,CN,Android,Samsung Galaxy S23,1.2.0,18-24,M,1
U000218,2026-01-02 01:52:22,2026-01-02,referral,ID,Android,vivo X100,1.1.1,25-34,M,1
U000219,2026-01-02 01:01:53,2026-01-02,tiktok_ads,BR,Android,OPPO Reno11,1.1.1,35-44,F,1
U000220,2026-01-02 00:21:47,2026-01-02,app_store,US,iOS,iPhone 11,1.1.1,25-34,F,1
U000221,2026-01-02 02:06:03,2026-01-02,organic,ID,Android,Google Pixel 8,1.1.1,25-34,M,1
U000222,2026-01-02 02:46:43,2026-01-02,app_store,US,iOS,iPhone 14,1.1.0,18-24,F,1
U000223,2026-01-02 00:24:11,2026-01-02,facebook_ads,US,Android,Google Pixel 8,1.1.0,18-24,M,1
U000224,,2026-01-02,tiktok_ads,CN,Android,Samsung Galaxy S23,1.1.0,18-24,F,1
U000225,2026-01-04 00:50:15,2026-01-02,google_ads,BR,Android,Redmi Note 13,1.1.1,25-34,M,1
U000226,2026-01-02 00:51:45,2026-01-02,organic,CN,Android,Xiaomi 14,1.1.1,25-34,F,1
U000227,2026-01-02 02:09:44,2026-01-02,app_store,JP,iOS,iPhone SE,1.1.1,35-44,M,1
U000228,2026-01-02 00:43:17,2026-01-02,referral,US,iOS,iPhone 13,1.1.1,18-24,M,1
U000229,,2026-01-02,organic,JP,iOS,iPhone 15,1.1.0,25-34,M,1
U000230,,2026-01-02,tiktok_ads,BR,Android,Google Pixel 8,1.1.0,18-24,M,1
U000231,2026-01-02 00:57:51,2026-01-02,organic,US,Android,vivo X100,1.1.1,25-34,M,1
U000232,2026-01-02 02:00:25,2026-01-02,app_store,ID,Android,Huawei Mate 60,1.2.0,55+,M,1
U000233,2026-01-02 02:54:59,2026-01-02,app_store,ID,Android,Google Pixel 8,1.1.1,18-24,F,1
U000234,2026-01-02 12:06:02,2026-01-02,referral,BR,Android,Redmi Note 13,1.1.0,18-24,F,1
U000235,2026-01-02 00:47:03,2026-01-02,tiktok_ads,ID,Android,Redmi Note 13,1.1.0,25-34,M,1
U000236,2026-01-02 01:28:06,2026-01-02,tiktok_ads,ID,iOS,iPhone 14,1.1.1,18-24,F,1
U000237,,2026-01-02,facebook_ads,US,Android,Huawei Mate 60,1.1.1,25-34,M,1
U000238,2026-01-03 00:02:42,2026-01-02,app_store,US,Android,OPPO Reno11,1.1.1,25-34,F,1
U000239,2026-01-02 00:47:55,2026-01-02,facebook_ads,JP,iOS,iPhone 14,1.1.1,18-24,Unknown,1
U000240,2026-01-02 06:21:00,2026-01-02,app_store,US,iOS,iPhone 13,1.1.0,18-24,M,1
U000241,2026-01-02 00:27:08,2026-01-02,organic,JP,iOS,iPhone 12,1.2.0,18-24,M,1
U000242,2026-01-02 00:47:48,2026-01-02,referral,JP,iOS,iPhone 13,1.1.0,25-34,M,1
U000243,,2026-01-02,tiktok_ads,JP,iOS,iPhone 14,1.2.0,18-24,F,1
U000244,,2026-01-02,tiktok_ads,JP,iOS,iPhone 12,1.1.0,35-44,M,1
U000245,,2026-01-02,tiktok_ads,JP,iOS,iPhone 12,1.1.1,25-34,M,1
U000246,2026-01-02 00:21:09,2026-01-02,referral,CN,Android,Samsung Galaxy S23,1.2.0,25-34,F,1
U000247,2026-01-02 02:11:56,2026-01-02,facebook_ads,BR,Android,Google Pixel 8,1.2.0,25-34,F,1
U000248,2026-01-02 00:47:03,2026-01-02,organic,JP,Android,vivo X100,1.1.1,35-44,M,1
